Ion = Bismuth     , Mass = 208.980384
Tgt = Bi (Solid), Density = 1 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
3.899E+00   2.780E+01  3.598E+02 
1.559E+01   5.559E+01  6.810E+02 
3.509E+01   8.339E+01  9.375E+02 
6.238E+01   1.112E+02  1.142E+03 
9.747E+01   1.390E+02  1.307E+03 
1.404E+02   1.668E+02  1.438E+03 
1.910E+02   1.946E+02  1.543E+03 
2.495E+02   2.224E+02  1.626E+03 
3.158E+02   2.502E+02  1.691E+03 
3.899E+02   2.780E+02  1.740E+03 
4.717E+02   3.195E+02  1.776E+03 
5.614E+02   3.586E+02  1.801E+03 
6.589E+02   3.914E+02  1.817E+03 
7.641E+02   4.217E+02  1.825E+03 
8.772E+02   4.514E+02  1.826E+03 
9.981E+02   4.815E+02  1.821E+03 
1.127E+03   5.125E+02  1.812E+03 
1.263E+03   5.444E+02  1.798E+03 
1.407E+03   5.775E+02  1.782E+03 
1.559E+03   6.115E+02  1.762E+03 
1.719E+03   6.463E+02  1.740E+03 
1.887E+03   6.817E+02  1.716E+03 
2.062E+03   7.174E+02  1.691E+03 
2.246E+03   7.533E+02  1.665E+03 
2.437E+03   7.891E+02  1.638E+03 
2.636E+03   8.247E+02  1.610E+03 
2.842E+03   8.600E+02  1.582E+03 
3.057E+03   8.947E+02  1.553E+03 
3.279E+03   9.289E+02  1.525E+03 
3.509E+03   9.623E+02  1.496E+03 
3.747E+03   9.950E+02  1.468E+03 
3.992E+03   1.027E+03  1.439E+03 
4.246E+03   1.058E+03  1.411E+03 
4.507E+03   1.088E+03  1.384E+03 
4.776E+03   1.117E+03  1.357E+03 
5.053E+03   1.146E+03  1.330E+03 
5.337E+03   1.173E+03  1.304E+03 
5.630E+03   1.200E+03  1.278E+03 
5.930E+03   1.225E+03  1.252E+03 
6.238E+03   1.250E+03  1.228E+03 
6.554E+03   1.275E+03  1.203E+03 
6.877E+03   1.298E+03  1.180E+03 
7.209E+03   1.321E+03  1.157E+03 
7.548E+03   1.343E+03  1.134E+03 
7.895E+03   1.365E+03  1.112E+03 
8.250E+03   1.386E+03  1.090E+03 
8.612E+03   1.407E+03  1.069E+03 
8.983E+03   1.427E+03  1.049E+03 
9.361E+03   1.447E+03  1.029E+03 
9.747E+03   1.467E+03  1.009E+03 
1.014E+04   1.487E+03  9.900E+02 
1.054E+04   1.506E+03  9.715E+02 
1.095E+04   1.525E+03  9.534E+02 
1.137E+04   1.544E+03  9.357E+02 
1.179E+04   1.564E+03  9.185E+02 
1.223E+04   1.583E+03  9.018E+02 
1.267E+04   1.602E+03  8.854E+02 
1.312E+04   1.622E+03  8.695E+02 
1.357E+04   1.642E+03  8.540E+02 
1.404E+04   1.662E+03  8.388E+02 
1.451E+04   1.682E+03  8.241E+02 
1.499E+04   1.702E+03  8.097E+02 
1.547E+04   1.723E+03  7.957E+02 
1.597E+04   1.745E+03  7.820E+02 
1.647E+04   1.766E+03  7.686E+02 
1.698E+04   1.789E+03  7.556E+02 
1.750E+04   1.811E+03  7.429E+02 
1.803E+04   1.834E+03  7.305E+02 
1.856E+04   1.858E+03  7.185E+02 
1.910E+04   1.882E+03  7.067E+02 
1.965E+04   1.907E+03  6.952E+02 
2.021E+04   1.933E+03  6.839E+02 
2.078E+04   1.959E+03  6.730E+02 
2.135E+04   1.985E+03  6.623E+02 
2.193E+04   2.012E+03  6.518E+02 
2.252E+04   2.040E+03  6.416E+02 
2.312E+04   2.069E+03  6.316E+02 
2.372E+04   2.098E+03  6.219E+02 
2.433E+04   2.128E+03  6.124E+02 
2.495E+04   2.158E+03  6.031E+02 
2.558E+04   2.189E+03  5.940E+02 
2.621E+04   2.221E+03  5.851E+02 
2.686E+04   2.253E+03  5.764E+02 
2.751E+04   2.286E+03  5.679E+02 
2.817E+04   2.320E+03  5.596E+02 
2.883E+04   2.354E+03  5.515E+02 
2.951E+04   2.389E+03  5.436E+02 
3.019E+04   2.425E+03  5.358E+02 
3.088E+04   2.461E+03  5.282E+02 
3.158E+04   2.498E+03  5.208E+02 
3.228E+04   2.535E+03  5.135E+02 
3.300E+04   2.573E+03  5.063E+02 
3.372E+04   2.612E+03  4.994E+02 
3.445E+04   2.651E+03  4.925E+02 
3.519E+04   2.691E+03  4.859E+02 
3.593E+04   2.731E+03  4.793E+02 
3.668E+04   2.772E+03  4.729E+02 
3.744E+04   2.814E+03  4.666E+02 
3.821E+04   2.856E+03  4.604E+02 
3.899E+04   2.899E+03  4.544E+02 
3.977E+04   2.942E+03  4.485E+02 
4.056E+04   2.985E+03  4.427E+02 
4.136E+04   3.030E+03  4.370E+02 
4.217E+04   3.074E+03  4.314E+02 
4.298E+04   3.119E+03  4.260E+02 
4.381E+04   3.165E+03  4.206E+02 
4.464E+04   3.211E+03  4.154E+02 
4.547E+04   3.258E+03  4.102E+02 
4.632E+04   3.305E+03  4.052E+02 
4.717E+04   3.352E+03  4.002E+02 
4.804E+04   3.400E+03  3.953E+02 
4.891E+04   3.448E+03  3.906E+02 
4.978E+04   3.497E+03  3.859E+02 
5.067E+04   3.546E+03  3.813E+02 
5.156E+04   3.595E+03  3.768E+02 
5.246E+04   3.645E+03  3.723E+02 
5.337E+04   3.695E+03  3.680E+02 
5.429E+04   3.745E+03  3.637E+02 
5.521E+04   3.796E+03  3.595E+02 
5.614E+04   3.847E+03  3.554E+02 
5.708E+04   3.898E+03  3.513E+02 
5.803E+04   3.950E+03  3.473E+02 
5.898E+04   4.002E+03  3.434E+02 
5.995E+04   4.054E+03  3.396E+02 
6.092E+04   4.106E+03  3.358E+02 
6.190E+04   4.159E+03  3.321E+02 
6.288E+04   4.212E+03  3.284E+02 
6.388E+04   4.265E+03  3.249E+02 
6.488E+04   4.318E+03  3.213E+02 
6.589E+04   4.372E+03  3.179E+02 
6.691E+04   4.425E+03  3.144E+02 
6.793E+04   4.479E+03  3.111E+02 
6.896E+04   4.533E+03  3.078E+02 
7.000E+04   4.588E+03  3.046E+02 
7.105E+04   4.642E+03  2.965E+02 
7.211E+04   4.696E+03  2.934E+02 
7.317E+04   4.751E+03  2.904E+02 
7.425E+04   4.806E+03  2.874E+02 
7.533E+04   4.861E+03  2.845E+02 
7.641E+04   4.916E+03  2.816E+02 
7.751E+04   4.971E+03  2.787E+02 
7.861E+04   5.026E+03  2.759E+02 
7.972E+04   5.081E+03  2.732E+02 
8.084E+04   5.136E+03  2.705E+02 
8.197E+04   5.192E+03  2.678E+02 
8.310E+04   5.247E+03  2.651E+02 
8.425E+04   5.302E+03  2.625E+02 
8.540E+04   5.358E+03  2.600E+02 
8.655E+04   5.413E+03  2.575E+02 
8.772E+04   5.469E+03  2.550E+02 
8.889E+04   5.524E+03  2.526E+02 
9.007E+04   5.580E+03  2.501E+02 
9.126E+04   5.636E+03  2.478E+02 
9.246E+04   5.691E+03  2.454E+02 
9.367E+04   5.747E+03  2.431E+02 
9.488E+04   5.802E+03  2.409E+02 
9.610E+04   5.858E+03  2.386E+02 
9.733E+04   5.913E+03  2.364E+02 
9.856E+04   5.968E+03  2.342E+02 
9.981E+04   6.024E+03  2.321E+02 
1.011E+05   6.079E+03  2.300E+02 
1.023E+05   6.134E+03  2.279E+02 
1.036E+05   6.189E+03  2.258E+02 
1.049E+05   6.245E+03  2.238E+02 
1.061E+05   6.300E+03  2.218E+02 
1.074E+05   6.355E+03  2.199E+02 
1.087E+05   6.409E+03  2.179E+02 
1.100E+05   6.464E+03  2.160E+02 
1.114E+05   6.519E+03  2.141E+02 
1.127E+05   6.573E+03  2.122E+02 
1.140E+05   6.628E+03  2.104E+02 
1.153E+05   6.682E+03  2.086E+02 
1.167E+05   6.736E+03  2.068E+02 
1.180E+05   6.791E+03  2.050E+02 
1.194E+05   6.845E+03  2.033E+02 
1.208E+05   6.898E+03  2.016E+02 
1.221E+05   6.952E+03  1.999E+02 
1.235E+05   7.006E+03  1.982E+02 
1.249E+05   7.059E+03  1.965E+02 
1.263E+05   7.113E+03  1.949E+02 
1.277E+05   7.166E+03  1.933E+02 
1.291E+05   7.219E+03  1.917E+02 
1.306E+05   7.272E+03  1.901E+02 
1.320E+05   7.324E+03  1.886E+02 
1.334E+05   7.377E+03  1.870E+02 
1.349E+05   7.429E+03  1.855E+02 
1.363E+05   7.481E+03  1.840E+02 
1.378E+05   7.534E+03  1.826E+02 
1.393E+05   7.585E+03  1.811E+02 
1.407E+05   7.637E+03  1.797E+02 
1.422E+05   7.689E+03  1.782E+02 
1.437E+05   7.740E+03  1.768E+02 
1.452E+05   7.791E+03  1.755E+02 
1.467E+05   7.842E+03  1.741E+02 
1.482E+05   7.893E+03  1.727E+02 
1.498E+05   7.943E+03  1.714E+02 
1.513E+05   7.994E+03  1.701E+02 
1.528E+05   8.044E+03  1.688E+02 
1.544E+05   8.094E+03  1.675E+02 
1.559E+05   8.143E+03  1.662E+02 
1.575E+05   8.193E+03  1.649E+02 
1.591E+05   8.242E+03  1.637E+02 
1.607E+05   8.291E+03  1.625E+02 
1.622E+05   8.340E+03  1.613E+02 
1.638E+05   8.389E+03  1.601E+02 
1.654E+05   8.438E+03  1.589E+02 
1.671E+05   8.486E+03  1.577E+02 
1.687E+05   8.534E+03  1.565E+02 
1.703E+05   8.582E+03  1.554E+02 
1.719E+05   8.629E+03  1.543E+02 
1.736E+05   8.677E+03  1.531E+02 
1.752E+05   8.724E+03  1.520E+02 
1.769E+05   8.771E+03  1.509E+02 
1.785E+05   8.818E+03  1.499E+02 
1.802E+05   8.864E+03  1.488E+02 
1.819E+05   8.911E+03  1.477E+02 
1.836E+05   8.957E+03  1.467E+02 
1.853E+05   9.002E+03  1.456E+02 
